Swat_Edit (Swat Parameters Editor 2012) Version 2.5.9.2

________________________________________________________________________________________________________________________________________________________________________________________________________


r__SOL_AWC(1).sol  0.371300000000000

Parameter: 'SOL_K(1)'  |  Value: { New: '2.71'  Original: '2.47'  Old: '2.80' }  |  File: '000020002.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '18.32'  Original: '16.69'  Old: '18.89' }  |  File: '000030001.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '2.67'  Original: '2.43'  Old: '2.75' }  |  File: '000030002.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '18.32'  Original: '16.69'  Old: '18.89' }  |  File: '000040001.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '2.67'  Original: '2.43'  Old: '2.75' }  |  File: '000040002.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '18.32'  Original: '16.69'  Old: '18.89' }  |  File: '000050001.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '6.34'  Original: '5.78'  Old: '6.54' }  |  File: '000050002.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '3.08'  Original: '2.81'  Old: '3.18' }  |  File: '000060001.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '6.34'  Original: '5.78'  Old: '6.54' }  |  File: '000060002.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '2.94'  Original: '2.68'  Old: '3.03' }  |  File: '000070001.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '18.32'  Original: '16.69'  Old: '18.89' }  |  File: '000080001.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '2.94'  Original: '2.68'  Old: '3.03' }  |  File: '000080002.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '2.94'  Original: '2.68'  Old: '3.03' }  |  File: '000080003.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '18.32'  Original: '16.69'  Old: '18.89' }  |  File: '000090001.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '2.71'  Original: '2.47'  Old: '2.80' }  |  File: '000090002.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '2.94'  Original: '2.68'  Old: '3.03' }  |  File: '000100001.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '2.94'  Original: '2.68'  Old: '3.03' }  |  File: '000100002.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '2.94'  Original: '2.68'  Old: '3.03' }  |  File: '000110001.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '6.34'  Original: '5.78'  Old: '6.54' }  |  File: '000110002.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '4.45'  Original: '4.05'  Old: '4.58' }  |  File: '000120001.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '2.94'  Original: '2.68'  Old: '3.03' }  |  File: '000130001.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '2.94'  Original: '2.68'  Old: '3.03' }  |  File: '000130002.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '4.88'  Original: '4.45'  Old: '5.04' }  |  File: '000140001.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '4.34'  Original: '3.95'  Old: '4.47' }  |  File: '000140002.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '2.94'  Original: '2.68'  Old: '3.03' }  |  File: '000150001.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '6.34'  Original: '5.78'  Old: '6.54' }  |  File: '000150002.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '2.94'  Original: '2.68'  Old: '3.03' }  |  File: '000150003.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '2.71'  Original: '2.47'  Old: '2.80' }  |  File: '000160001.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '6.34'  Original: '5.78'  Old: '6.54' }  |  File: '000160002.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '2.94'  Original: '2.68'  Old: '3.03' }  |  File: '000170001.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '4.34'  Original: '3.95'  Old: '4.47' }  |  File: '000180001.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '18.32'  Original: '16.69'  Old: '18.89' }  |  File: '000190001.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '4.34'  Original: '3.95'  Old: '4.47' }  |  File: '000190002.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '18.32'  Original: '16.69'  Old: '18.89' }  |  File: '000200001.sol'  |  Line: '11'
Parameter: 'SOL_K(1)'  |  Value: { New: '2.67'  Original: '2.43'  Old: '2.75' }  |  File: '000200002.sol'  |  Line: '11'

Modified Values:  38 in 38 files

________________________________________________________________________________________________________________________________________________________________________________________________________


r__SOL_BD(1).sol  0.351080000000000

Parameter: 'SOL_BD(1)'  |  Value: { New: '1.62'  Original: '1.2'  Old: '1.19' }  |  File: '000010001.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '2.03'  Original: '1.5'  Old: '1.48' }  |  File: '000010002.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '1.62'  Original: '1.2'  Old: '1.19' }  |  File: '000020001.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '2.03'  Original: '1.5'  Old: '1.48' }  |  File: '000020002.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '1.62'  Original: '1.2'  Old: '1.19' }  |  File: '000030001.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '2.03'  Original: '1.5'  Old: '1.48' }  |  File: '000030002.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '1.62'  Original: '1.2'  Old: '1.19' }  |  File: '000040001.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '2.03'  Original: '1.5'  Old: '1.48' }  |  File: '000040002.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '1.62'  Original: '1.2'  Old: '1.19' }  |  File: '000050001.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '1.89'  Original: '1.4'  Old: '1.38' }  |  File: '000050002.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '2.03'  Original: '1.5'  Old: '1.48' }  |  File: '000060001.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '1.89'  Original: '1.4'  Old: '1.38' }  |  File: '000060002.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '2.03'  Original: '1.5'  Old: '1.48' }  |  File: '000070001.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '1.62'  Original: '1.2'  Old: '1.19' }  |  File: '000080001.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '2.03'  Original: '1.5'  Old: '1.48' }  |  File: '000080002.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '2.03'  Original: '1.5'  Old: '1.48' }  |  File: '000080003.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '1.62'  Original: '1.2'  Old: '1.19' }  |  File: '000090001.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '2.03'  Original: '1.5'  Old: '1.48' }  |  File: '000090002.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '2.03'  Original: '1.5'  Old: '1.48' }  |  File: '000100001.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '2.03'  Original: '1.5'  Old: '1.48' }  |  File: '000100002.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '2.03'  Original: '1.5'  Old: '1.48' }  |  File: '000110001.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '1.89'  Original: '1.4'  Old: '1.38' }  |  File: '000110002.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '1.89'  Original: '1.4'  Old: '1.38' }  |  File: '000120001.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '2.03'  Original: '1.5'  Old: '1.48' }  |  File: '000130001.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '2.03'  Original: '1.5'  Old: '1.48' }  |  File: '000130002.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '1.89'  Original: '1.4'  Old: '1.38' }  |  File: '000140001.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '1.89'  Original: '1.4'  Old: '1.38' }  |  File: '000140002.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '2.03'  Original: '1.5'  Old: '1.48' }  |  File: '000150001.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '1.89'  Original: '1.4'  Old: '1.38' }  |  File: '000150002.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '2.03'  Original: '1.5'  Old: '1.48' }  |  File: '000150003.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '2.03'  Original: '1.5'  Old: '1.48' }  |  File: '000160001.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '1.89'  Original: '1.4'  Old: '1.38' }  |  File: '000160002.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '2.03'  Original: '1.5'  Old: '1.48' }  |  File: '000170001.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '1.89'  Original: '1.4'  Old: '1.38' }  |  File: '000180001.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '1.62'  Original: '1.2'  Old: '1.19' }  |  File: '000190001.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '1.89'  Original: '1.4'  Old: '1.38' }  |  File: '000190002.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '1.62'  Original: '1.2'  Old: '1.19' }  |  File: '000200001.sol'  |  Line: '9'
Parameter: 'SOL_BD(1)'  |  Value: { New: '2.03'  Original: '1.5'  Old: '1.48' }  |  File: '000200002.sol'  |  Line: '9'

Modified Values:  38 in 38 files

________________________________________________________________________________________________________________________________________________________________________________________________________


r__CN2.mgt -0.194920000000000

Parameter: 'CN2'  |  Value: { New: '63.601320'  Original: '79'  Old: '63.569490' }  |  File: '000010001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000010002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '63.601320'  Original: '79'  Old: '63.569490' }  |  File: '000020001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000020002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '63.601320'  Original: '79'  Old: '63.569490' }  |  File: '000030001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000030002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '63.601320'  Original: '79'  Old: '63.569490' }  |  File: '000040001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000040002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '63.601320'  Original: '79'  Old: '63.569490' }  |  File: '000050001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000050002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '66.821640'  Original: '83'  Old: '66.788200' }  |  File: '000060001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000060002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000070001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '63.601320'  Original: '79'  Old: '63.569490' }  |  File: '000080001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '67.626720'  Original: '84'  Old: '67.592880' }  |  File: '000080002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '64.406400'  Original: '80'  Old: '64.374170' }  |  File: '000080003.mgt'  |  Line: '11'
