Stname       L95PPU             U95PPU 
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        8.493020           8.588495        
H-SW_3.txt        13.284000          13.752335       
H-SW_3.txt        29.720921          33.272758       
H-SW_3.txt        47.782700          54.030266       
H-SW_3.txt        60.680119          75.480148       
H-SW_3.txt        79.355896          108.383186      
H-SW_3.txt        68.032936          97.718674       
H-SW_3.txt        56.752972          85.880516       
H-SW_3.txt        0.171090           16.168005       
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        13.445570          13.498580       
H-SW_3.txt        12.452419          12.530959       
H-SW_3.txt        52.067692          73.450226       
H-SW_3.txt        56.993752          91.287498       
H-SW_3.txt        72.652023          115.493904      
H-SW_3.txt        63.736668          105.705833      
H-SW_3.txt        58.970329          104.827797      
H-SW_3.txt        53.435402          95.659416       
H-SW_3.txt        14.006270          52.671471       
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        6.499030           6.869789        
H-SW_3.txt        21.348200          24.268522       
H-SW_3.txt        34.965000          41.790497       
H-SW_3.txt        38.945740          48.271416       
H-SW_3.txt        51.772633          82.071426       
H-SW_3.txt        58.477081          95.257851       
H-SW_3.txt        45.348660          86.663582       
H-SW_3.txt        0.130280           24.579496       
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        15.002680          15.253836       
H-SW_3.txt        72.365021          102.941414      
H-SW_3.txt        89.319511          116.249611      
H-SW_3.txt        99.985657          121.980576      
H-SW_3.txt        92.424408          117.195992      
H-SW_3.txt        89.937325          108.148811      
H-SW_3.txt        82.089699          103.511292      
H-SW_3.txt        59.615620          75.230286       
H-SW_3.txt        0.014255           2.679940        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.003040           0.006760        
H-SW_3.txt        3.584470           3.721914        
H-SW_3.txt        43.372158          71.530609       
H-SW_3.txt        40.434319          68.420761       
H-SW_3.txt        40.097412          71.364754       
H-SW_3.txt        33.394348          65.404076       
H-SW_3.txt        29.500540          60.593040       
H-SW_3.txt        34.678738          71.399918       
H-SW_3.txt        9.500760           43.886326       
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        6.276123           6.321570        
H-SW_3.txt        1.381098           1.417660        
H-SW_3.txt        0.229080           0.236560        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        23.239870          23.602545       
H-SW_3.txt        24.019930          24.388220       
H-SW_3.txt        39.264961          49.838020       
H-SW_3.txt        36.371151          57.632389       
H-SW_3.txt        17.198061          38.357273       
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        3.411024           3.422160        
H-SW_3.txt        10.072100          10.099902       
H-SW_3.txt        18.745350          19.153013       
H-SW_3.txt        22.980309          23.290504       
H-SW_3.txt        21.732389          21.956360       
H-SW_3.txt        44.408371          51.749020       
H-SW_3.txt        35.257698          46.180817       
H-SW_3.txt        23.996279          34.880085       
H-SW_3.txt        26.544670          44.952991       
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.458010           0.459893        
H-SW_3.txt        29.761688          35.258984       
H-SW_3.txt        32.397980          38.297096       
H-SW_3.txt        35.463459          41.501209       
H-SW_3.txt        72.990555          110.656143      
H-SW_3.txt        68.162300          106.566345      
H-SW_3.txt        63.634247          105.826096      
H-SW_3.txt        50.132599          86.279686       
H-SW_3.txt        0.030143           8.500421        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        1.567060           1.600480        
H-SW_3.txt        10.495641          10.646523       
H-SW_3.txt        14.090380          14.219637       
H-SW_3.txt        32.237877          37.940296       
H-SW_3.txt        23.590599          29.454128       
H-SW_3.txt        19.071579          24.745913       
H-SW_3.txt        16.473640          22.153582       
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.000000           0.000000        
H-SW_3.txt        0.002000           0.002000        
H-SW_3.txt        8.503090           8.511523        
