 FLOW_OUT_1
observed       L95PPU         U95PPU         Best_Sim       M95PPU
0.980000        0.006530        0.565758        0.047400        0.138080       
3.270000        0.082979        10.226363       0.771700        1.759393       
2.240000        0.036485        0.251593        0.074500        0.094260       
0.330000        0.020600        0.290718        0.054100        0.081309       
0.130000        0.006053        0.068134        0.036900        0.041208       
0.000000        0.000890        0.054801        0.024200        0.029172       
0.000000        0.000781        0.048676        0.019000        0.024182       
0.000000        0.000745        0.046451        0.017900        0.022970       
0.290000        0.002367        0.049285        0.022500        0.027015       
0.430000        0.013945        0.758555        0.031800        0.104926       
0.650000        0.022840        1.572065        0.037100        0.221547       
1.230000        0.025711        0.063808        0.040300        0.044782       
1.030000        0.012119        0.047640        0.025100        0.029658       
2.350000        0.008477        0.579842        0.019900        0.077210       
0.730000        0.007470        0.039974        0.017800        0.023543       
0.480000        0.005962        0.036446        0.015200        0.020755       
0.110000        0.000183        0.022955        0.003900        0.009441       
0.000000        0.000058        0.017820        0.000600        0.005837       
0.000000        0.000030        0.014582        0.000000        0.003900       
0.000000        0.000052        0.015879        0.000400        0.004952       

p-factor= 0.31
r-factor= 0.26
R2= 0.09
Nash_Sutclif= -0.18


 FLOW_OUT_3
observed       L95PPU         U95PPU         Best_Sim       M95PPU
46.270000       0.988634        59.644913       17.629999       26.467203      
59.360001       40.393986       238.029129      79.540001       89.445831      
143.550003      45.054573       411.096008      116.800003      128.990845     
233.869995      18.623238       304.215210      49.860001       74.213341      
91.639999       3.056060        50.119682       18.510000       25.768835      
6.960000        0.093450        23.424803       8.287000        13.003975      
0.970000        0.078038        19.561398       5.885000        10.553967      
0.480000        0.066525        16.675602       4.634000        9.231999       
0.850000        0.063337        15.918825       5.146000        9.178833       
10.820000       0.094400        17.822720       8.230000        11.055138      
28.090000       0.456675        56.018803       9.146000        17.968832      
40.009998       4.508950        29.785597       16.280001       18.981668      
48.169998       0.421402        17.895424       9.446000        13.454292      
56.700001       58.131382       332.855194      103.699997      117.162498     
213.419998      29.838017       441.995178      71.389999       103.323334     
