
FLOW_OUT_1
observed    simulated
44.6100       103.5000    
35.0900       69.5400     
53.5200       54.6700     
85.5200       31.3300     
373.4700      16.9800     
306.0000      9.7890      
113.1900      8.2340      
23.1200       8.8390      
5.8200        10.9300     
20.2100       34.6900     
28.9100       13.7500     
37.3400       51.5200     
50.1100       171.2000    
54.5100       179.9000    
60.2100       88.9100     
125.0300      56.2700     
192.0000      36.1600     
157.5700      29.5200     
52.1200       27.0700     
7.7000        25.3300     
10.0600       24.6900     
8.2500        35.4400     
14.4000       38.5700     
66.6200       45.3600     
88.9500       90.0600     
138.6700      59.4400     
122.6900      45.1300     
285.6400      44.4300     
254.1400      27.1700     
151.6200      22.0200     
48.0400       19.4600     
14.6200       18.3800     
5.4100        19.1600     
12.6600       22.9500     
37.6500       47.2600     
109.1500      108.3000    
67.8900       119.0000    
77.6600       81.0900     
112.9500      126.5000    
146.0300      103.4000    
244.2300      61.9400     
272.3200      52.7200     
184.8400      46.5200     
25.3300       44.3500     
14.9400       42.4200     
13.7100       139.7000    
34.9900       84.6600     
42.6100       88.9800     
46.6400       72.2800     
51.6200       40.6000     
75.3800       87.1600     
105.9700      115.4000    
353.0000      86.6400     
175.9800      63.0800     
27.8300       56.3300     
24.9300       52.8600     
3.5300        50.2600     
8.8900        46.9500     
30.3600       43.1500     
37.7200       39.0200     
40.0000       50.7400     
43.6500       68.9600     
42.3400       168.8000    
52.3400       50.6100     
139.3200      40.2300     
74.9800       34.3400     
18.0900       29.8600     
8.5800        28.4500     
0.3200        28.2000     
2.3900        27.0100     
8.9200        24.8300     
34.7400       22.3300     
33.0700       30.8300     
34.2900       17.9000     
55.8400       19.4700     
198.8400      8.3660      
308.3300      3.4670      
125.5300      1.2550      
38.5800       0.0557      
5.9600        2.2820      
4.3100        4.0220      
5.1800        6.2840      
15.4100       6.4620      
23.1800       8.3940      
25.4000       178.6000    
30.8100       254.1000    
32.8100       32.5300     
35.4700       28.5400     
33.6800       20.2900     
10.4400       16.5900     
0.7500        14.4400     
3.8300        14.4400     
2.0300        15.1200     
1.5800        15.2700     
4.5500        14.4900     
9.7000        15.8500     
14.4800       12.6200     
16.9400       12.2000     
23.9900       9.2290      
69.9200       1.9030      
63.2100       0.0000      
15.7700       0.0000      
3.8500        0.0000      
1.2600        0.0012      
0.3400        0.8555      
0.4000        3.4370      
0.6200        11.4300     
7.9000        9.5310      
0.9800        73.0200     
3.2700        58.4600     
2.2400        16.3100     
0.3300        3.7230      
0.1300        0.4680      
0.0000        0.0000      
0.0000        0.0000      
0.0000        0.1110      
0.2900        2.8000      
0.4300        4.3220      


NO3_OUT_7
observed    simulated
17000.0000    6725.0000   
510000.0000   45920.0000  
56000.0000    1520.0000   
61000.0000    0.0000      
1100.0000     0.0000      
14.0000       0.0000      
0.2300        0.0000      
5.8000        0.0000      
6.4000        0.0000      
3.2000        0.0000      
5800.0000     13.8800     
7400.0000     115.1000    

