Stname       L95PPU             U95PPU 
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        8.664854           8.717979        
H-SW_1.txt        13.874605          13.974331       
H-SW_1.txt        32.781769          33.824062       
H-SW_1.txt        52.606106          54.849426       
H-SW_1.txt        70.686546          76.996208       
H-SW_1.txt        98.363693          109.469849      
H-SW_1.txt        88.859985          98.927620       
H-SW_1.txt        76.422432          87.074249       
H-SW_1.txt        6.490350           17.734047       
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        13.610325          13.669802       
H-SW_1.txt        12.580650          12.699604       
H-SW_1.txt        61.653923          75.442863       
H-SW_1.txt        66.681664          96.172867       
H-SW_1.txt        85.734978          116.427582      
H-SW_1.txt        77.189865          106.695145      
H-SW_1.txt        73.188904          105.927292      
H-SW_1.txt        65.852913          96.603317       
H-SW_1.txt        25.636230          53.672668       
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        6.708695           6.998220        
H-SW_1.txt        23.470779          24.822960       
H-SW_1.txt        37.920410          42.481609       
H-SW_1.txt        42.203705          49.144318       
H-SW_1.txt        63.487637          84.466026       
H-SW_1.txt        73.046028          98.025482       
H-SW_1.txt        61.757706          89.575142       
H-SW_1.txt        0.418065           26.393837       
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        15.432037          15.454997       
H-SW_1.txt        86.729019          105.867615      
H-SW_1.txt        106.855614         117.397743      
H-SW_1.txt        118.831390         124.049500      
H-SW_1.txt        111.172882         118.494888      
H-SW_1.txt        109.014748         109.247765      
H-SW_1.txt        101.010300         104.756943      
H-SW_1.txt        75.095924          76.147217       
H-SW_1.txt        0.046185           2.913503        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.004045           0.006840        
H-SW_1.txt        3.699815           3.812546        
H-SW_1.txt        55.699001          73.779816       
H-SW_1.txt        52.730858          70.678375       
H-SW_1.txt        53.981178          73.937149       
H-SW_1.txt        47.584866          68.080475       
H-SW_1.txt        43.389648          63.250572       
H-SW_1.txt        49.744057          74.476555       
H-SW_1.txt        23.355335          46.738281       
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        6.371049           6.401361        
H-SW_1.txt        1.459057           1.493960        
H-SW_1.txt        0.244045           0.246805        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        23.820030          23.821896       
H-SW_1.txt        24.595045          24.597836       
H-SW_1.txt        46.551395          51.111668       
H-SW_1.txt        48.755501          59.659885       
H-SW_1.txt        29.439276          40.329689       
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        3.472012           3.479361        
H-SW_1.txt        10.245031          10.264319       
H-SW_1.txt        19.422009          19.425747       
H-SW_1.txt        23.575090          23.580662       
H-SW_1.txt        22.214075          22.218733       
H-SW_1.txt        49.356686          52.505901       
H-SW_1.txt        42.229324          47.220181       
H-SW_1.txt        31.011766          35.905701       
H-SW_1.txt        35.880791          46.492538       
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.460015           0.460947        
H-SW_1.txt        34.280125          36.214027       
H-SW_1.txt        37.504440          39.457901       
