Stname           observed       L95PPU         U95PPU         Best_Sim
FLOW_OUT_1     8.530000        0.112299        2.782004        0.614900       
FLOW_OUT_1     2.710000        0.035818        0.844145        0.429100       
FLOW_OUT_1     0.540000        0.016457        0.465153        0.373200       
FLOW_OUT_1     0.000000        0.008148        0.409412        0.328100       
FLOW_OUT_1     0.000000        0.006621        0.364525        0.292500       
FLOW_OUT_1     0.000000        0.005176        0.325114        0.261300       
FLOW_OUT_1     0.250000        0.005743        0.294683        0.236900       
FLOW_OUT_1     0.770000        0.009218        0.271679        0.217200       
FLOW_OUT_1     1.050000        0.008861        0.246921        0.195500       
FLOW_OUT_1     1.190000        0.027569        1.256278        0.188100       
FLOW_OUT_1     1.440000        0.016473        0.209634        0.167100       
FLOW_OUT_1     1.330000        0.009047        0.184522        0.144700       
FLOW_OUT_1     1.380000        0.008358        0.171549        0.130000       
FLOW_OUT_1     0.230000        0.003532        0.154068        0.111800       
FLOW_OUT_1     0.210000        0.002180        0.135856        0.093700       
FLOW_OUT_1     0.090000        0.001998        0.124542        0.082000       
FLOW_OUT_1     0.080000        0.001845        0.115005        0.072500       
FLOW_OUT_1     0.000000        0.001746        0.108834        0.066900       
FLOW_OUT_1     0.020000        0.001736        0.103229        0.062000       
FLOW_OUT_1     0.720000        0.013888        0.481974        0.069800       
FLOW_OUT_1     1.220000        0.010169        0.100704        0.061100       
FLOW_OUT_1     1.330000        0.012739        0.136371        0.057700       
FLOW_OUT_1     0.980000        0.006530        0.565758        0.047400       
FLOW_OUT_1     3.270000        0.082979        10.226363       0.771700       
FLOW_OUT_1     2.240000        0.036485        0.251593        0.074500       
FLOW_OUT_1     0.330000        0.020600        0.290718        0.054100       
FLOW_OUT_1     0.130000        0.006053        0.068134        0.036900       
FLOW_OUT_1     0.000000        0.000890        0.054801        0.024200       
FLOW_OUT_1     0.000000        0.000781        0.048676        0.019000       
FLOW_OUT_1     0.000000        0.000745        0.046451        0.017900       
FLOW_OUT_1     0.290000        0.002367        0.049285        0.022500       
FLOW_OUT_1     0.430000        0.013945        0.758555        0.031800       
FLOW_OUT_1     0.650000        0.022840        1.572065        0.037100       
FLOW_OUT_1     1.230000        0.025711        0.063808        0.040300       
FLOW_OUT_1     1.030000        0.012119        0.047640        0.025100       
FLOW_OUT_1     2.350000        0.008477        0.579842        0.019900       
FLOW_OUT_1     0.730000        0.007470        0.039974        0.017800       
FLOW_OUT_1     0.480000        0.005962        0.036446        0.015200       
FLOW_OUT_1     0.110000        0.000183        0.022955        0.003900       
FLOW_OUT_1     0.000000        0.000058        0.017820        0.000600       
FLOW_OUT_1     0.000000        0.000030        0.014582        0.000000       
FLOW_OUT_1     0.000000        0.000052        0.015879        0.000400       
FLOW_OUT_3     46.270000       0.988634        59.644913       17.629999      
FLOW_OUT_3     59.360001       40.393986       238.029129      79.540001      
FLOW_OUT_3     143.550003      45.054573       411.096008      116.800003     
FLOW_OUT_3     233.869995      18.623238       304.215210      49.860001      
FLOW_OUT_3     91.639999       3.056060        50.119682       18.510000      
FLOW_OUT_3     6.960000        0.093450        23.424803       8.287000       
FLOW_OUT_3     0.970000        0.078038        19.561398       5.885000       
FLOW_OUT_3     0.480000        0.066525        16.675602       4.634000       
FLOW_OUT_3     0.850000        0.063337        15.918825       5.146000       
FLOW_OUT_3     10.820000       0.094400        17.822720       8.230000       
FLOW_OUT_3     28.090000       0.456675        56.018803       9.146000       
FLOW_OUT_3     40.009998       4.508950        29.785597       16.280001      
FLOW_OUT_3     48.169998       0.421402        17.895424       9.446000       
FLOW_OUT_3     56.700001       58.131382       332.855194      103.699997     
FLOW_OUT_3     213.419998      29.838017       441.995178      71.389999      
FLOW_OUT_3     329.299988      24.030407       308.235992      60.950001      
FLOW_OUT_3     72.669998       8.270170        107.709755      33.330002      
FLOW_OUT_3     10.330000       0.714059        31.765146       17.510000      
FLOW_OUT_3     2.970000        0.108400        20.379198       9.705000       
FLOW_OUT_3     0.720000        0.093450        17.568604       8.109000       
FLOW_OUT_3     3.100000        0.092300        17.398548       9.026000       
FLOW_OUT_3     22.889999       0.169050        21.074900       11.880000      
FLOW_OUT_3     36.410000       16.075701       146.617569      35.980000      
FLOW_OUT_3     72.680000       1.346590        141.266541      15.560000      
FLOW_OUT_3     66.180000       33.803974       143.456665      69.500000      
FLOW_OUT_3     97.110001       85.651947       501.077637      192.100006     
FLOW_OUT_3     150.589996      98.979019       411.989838      181.800003     
FLOW_OUT_3     458.170013      54.839970       343.727997      92.779999      
FLOW_OUT_3     423.709991      12.464025       193.405182      57.110001      
FLOW_OUT_3     241.699997      0.470175        57.674805       35.669998      
FLOW_OUT_3     43.450001       0.263250        49.227749       28.549999      
FLOW_OUT_3     15.970000       0.238550        44.966675       26.330000      
FLOW_OUT_3     23.639999       0.219300        41.338055       24.840000      
FLOW_OUT_3     40.430000       0.209350        39.462475       24.620001      
FLOW_OUT_3     57.029999       8.989010        137.077255      35.950001      
FLOW_OUT_3     72.389999       9.463060        72.635681       39.389999      
FLOW_OUT_3     61.619999       12.946100       128.626892      46.230000      
FLOW_OUT_3     77.900002       50.079727       222.468796      90.489998      
FLOW_OUT_3     173.649994      24.991838       305.001587      59.759998      
FLOW_OUT_3     415.100006      16.698050       195.770401      44.700001      
FLOW_OUT_3     277.350006      9.528550        196.474380      43.689999      
FLOW_OUT_3     73.370003       0.648900        40.664402       25.809999      
FLOW_OUT_3     10.470000       0.181600        34.231598       20.559999      
FLOW_OUT_3     13.220000       0.160700        30.291952       18.100000      
FLOW_OUT_3     10.850000       0.148550        28.001677       17.280001      
FLOW_OUT_3     23.260000       0.148350        28.008476       18.580000      
FLOW_OUT_3     129.690002      1.329529        357.663757      23.430000      
FLOW_OUT_3     138.770004      19.180201       173.645584      49.630001      
FLOW_OUT_3     201.979996      52.893459       341.357574      117.599998     
FLOW_OUT_3     155.270004      68.492256       237.631943      127.099998     
FLOW_OUT_3     448.420013      22.539850       313.940826      86.309998      
FLOW_OUT_3     459.179993      52.164650       340.235138      132.100006     
FLOW_OUT_3     226.210007      23.165300       239.478394      107.699997     
FLOW_OUT_3     59.330002       1.348050        84.702477       64.889999      
FLOW_OUT_3     16.129999       0.382950        72.186073       54.869999      
FLOW_OUT_3     4.810000        0.337150        63.552776       48.270000      
FLOW_OUT_3     16.580000       0.314950        59.462559       46.400002      
FLOW_OUT_3     62.240002       0.447150        56.281273       44.889999      
FLOW_OUT_3     256.359985      74.100853       741.279175      142.800003     
FLOW_OUT_3     122.720001      26.984400       103.307579      87.570000      
FLOW_OUT_3     115.000000      35.847252       121.545265      91.400002      
FLOW_OUT_3     146.210007      23.386148       173.987213      74.110001      
FLOW_OUT_3     225.839996      0.877650        55.145672       41.689999      
FLOW_OUT_3     340.769989      28.192400       363.187134      87.690002      
FLOW_OUT_3     326.320007      36.624001       309.571991      115.000000     
FLOW_OUT_3     197.050003      9.460835        163.300873      85.830002      
FLOW_OUT_3     31.150000       0.412500        77.756248       62.009998      
