.	r__CN2.mgt	r__ALPHA_BF.gw	r__GW_DELAY.gw	r__CH_N2.rte	v__CH_K2.rte	r__SOL_AWC(1).sol	r__SOL_K(1).sol	r__SOL_BD(1).sol	v__SFTMP.bsn	v__SMTMP.bsn
q_0.945	0.017148398	-0.19366297	0.46997542	-0.30119951	6.3400656	0.20423127	-0.21717592	0.19300895	1.4603124	0.41864484
q_0.95	0.017188675	-0.19346445	0.47000898	-0.30032957	6.3469102	0.20442666	-0.21707692	0.19306789	1.4610818	0.41871818
q_0.955	0.017222512	-0.19247515	0.4703412	-0.29816026	6.3532943	0.20442666	-0.21707692	0.19321218	1.4611525	0.41919074
q_0.96	0.017267858	-0.19152592	0.47067015	-0.29612476	6.3594112	0.20443364	-0.21706074	0.19337228	1.4612374	0.41968225
q_0.965	0.01744413	-0.19103248	0.47096183	-0.29561138	6.3624883	0.20451997	-0.21686049	0.19371218	1.4614818	0.42038936
q_0.97	0.017664707	-0.19052208	0.47127348	-0.29511468	6.3659442	0.20461468	-0.21666646	0.19404201	1.4618565	0.4210959
q_0.975	0.018572007	-0.18974868	0.47189457	-0.2948766	6.3752711	0.2048392	-0.21656886	0.19421554	1.4642508	0.42179361
q_0.98	0.01945117	-0.1889739	0.47249651	-0.29460729	6.3842551	0.20506573	-0.21637838	0.19439202	1.4667021	0.42249493
q_0.985	0.019662095	-0.18816606	0.47264353	-0.29359637	6.3850935	0.20533997	-0.2139823	0.19463843	1.4705076	0.42328207
q_0.99	0.019868758	-0.18736993	0.47280622	-0.29251839	6.3863195	0.2056219	-0.21162994	0.19488451	1.4744685	0.42410225
q_0.995	0.019868758	-0.18714166	0.47372908	-0.28818741	6.4063471	0.20627752	-0.21139776	0.19511412	1.4859657	0.42652463
q_1	0.019868758	-0.1869134	0.47465194	-0.28385643	6.4263747	0.20693314	-0.21116559	0.19534374	1.4974629	0.42894701
