r__CN2.mgt  v__ALPHA_BF.gw  v__GW_DELAY.gw  v__GWQMN.gw  v__GW_REVAP.gw  v__ESCO.hru  v__CH_N2.rte  v__CH_K2.rte  v__ALPHA_BNK.rte  r__SOL_AWC(1).sol  r__SOL_K(1).sol  r__SOL_BD(1).sol  v__SFTMP.bsn       objfun
-2.895200e-002  4.704100e-001  3.221200e+002  5.372800e-001  8.844300e-002  9.630600e-001  2.416600e-001  8.818100e+001  8.853800e-001  3.128500e-001  5.737600e-001  5.300100e-001  -3.926200e+000  2.421400e+004  
8.113500e-002  2.392300e-002  2.959400e+002  1.642900e+000  1.099200e-001  9.479200e-001  4.337600e-002  9.837400e+000  1.213200e-001  7.351700e-002  5.399000e-001  -1.180500e-002  1.451500e+000  5.187600e+004  
1.552700e-001  4.007600e-001  3.303400e+002  6.770600e-002  6.172500e-002  9.681400e-001  1.591300e-001  5.543800e+001  6.583800e-001  2.163100e-001  -2.594400e-001  -2.573100e-001  -3.290400e+000  2.335100e+005  
-1.729400e-001  5.481900e-001  3.778300e+002  1.291700e+000  7.353200e-002  9.396300e-001  2.469300e-002  1.359800e+001  4.756400e-001  1.930300e-001  -7.242600e-001  -1.744400e-001  2.475600e+000  2.255600e+003  
-1.338100e-001  7.993800e-001  1.277800e+002  1.538200e+000  4.706100e-002  8.484000e-001  2.782400e-001  1.048800e+002  4.204000e-001  2.923000e-001  1.399100e-001  -3.515500e-001  4.718400e+000  2.728200e+003  
-1.910900e-001  2.621000e-001  3.344600e+002  5.456500e-001  8.131700e-002  9.490300e-001  2.499200e-001  8.227600e+001  6.506700e-001  8.066200e-002  -5.205200e-001  4.197600e-001  1.242000e-001  8.724300e+003  
-1.341500e-001  5.504000e-001  1.919300e+002  1.333800e+000  7.509300e-002  9.125400e-001  1.236600e-001  5.038700e+001  9.303800e-001  2.959700e-001  -2.294500e-001  -1.736500e-001  -2.346400e+000  4.189000e+003  
1.113300e-001  1.287100e-001  1.960100e+002  1.636400e+000  1.530200e-001  8.445300e-001  2.411900e-001  9.434900e+001  5.870600e-001  -1.137000e-001  -1.678600e-001  4.465500e-001  1.201500e+000  8.916300e+004  
-1.828200e-001  3.879200e-001  9.748500e+001  6.993600e-001  7.154800e-002  8.917000e-001  1.946800e-001  5.261100e+001  7.019900e-001  3.762000e-001  -5.338200e-001  4.407100e-001  4.669700e+000  7.864900e+003  
7.256600e-002  9.821500e-001  1.337800e+002  1.615300e-002  1.834600e-001  8.078000e-001  1.020400e-001  6.222200e+001  5.393700e-001  2.125100e-001  1.875300e-001  3.577000e-001  1.782200e+000  5.094800e+004  
