Stname     observed       L95PPU         U95PPU       Best_Sim
FLOW_OUT_1.txt  2.050000       0.028683       0.204362       0.088870       
FLOW_OUT_1.txt  0.000000       0.013881       0.081403       0.042590       
FLOW_OUT_1.txt  0.000000       0.007271       0.034883       0.021080       
FLOW_OUT_1.txt  0.230000       0.004393       0.017090       0.011470       
FLOW_OUT_1.txt  0.700000       0.026239       0.194948       0.079510       
FLOW_OUT_1.txt  0.880000       0.018815       0.125658       0.056900       
FLOW_OUT_1.txt  2.070000       0.009533       0.051729       0.028010       
FLOW_OUT_1.txt  1.800000       0.047191       1.041886       0.998900       
FLOW_OUT_1.txt  11.490000      0.359418       0.537659       0.411800       
FLOW_OUT_1.txt  8.530000       0.034308       0.232588       0.105600       
FLOW_OUT_1.txt  2.710000       0.029618       0.197599       0.090900       
FLOW_OUT_1.txt  0.540000       0.020898       0.129252       0.063120       
FLOW_OUT_1.txt  0.000000       0.012722       0.069483       0.036870       
FLOW_OUT_1.txt  0.000000       0.011089       0.062814       0.031400       
FLOW_OUT_1.txt  0.000000       0.006244       0.027113       0.016020       
FLOW_OUT_1.txt  0.250000       0.005514       0.025693       0.013720       
FLOW_OUT_1.txt  0.770000       0.008102       0.049085       0.022100       
FLOW_OUT_1.txt  1.050000       0.006407       0.034624       0.017030       
FLOW_OUT_1.txt  1.190000       0.018367       0.131425       0.053960       
FLOW_OUT_1.txt  1.440000       0.014680       0.084487       0.039890       
FLOW_OUT_1.txt  1.330000       0.009419       0.048554       0.024790       
FLOW_OUT_1.txt  1.380000       0.012933       0.084009       0.036970       
FLOW_OUT_1.txt  0.230000       0.010955       0.068249       0.031580       
FLOW_OUT_1.txt  0.210000       0.006329       0.032206       0.017420       
FLOW_OUT_1.txt  0.090000       0.004525       0.021338       0.011770       
FLOW_OUT_1.txt  0.080000       0.004660       0.024760       0.012190       
FLOW_OUT_1.txt  0.000000       0.003150       0.013009       0.007434       
FLOW_OUT_1.txt  0.020000       0.002704       0.011703       0.006214       
FLOW_OUT_1.txt  0.720000       0.015318       0.113650       0.046300       
FLOW_OUT_1.txt  1.220000       0.010081       0.065528       0.030290       
FLOW_OUT_1.txt  1.330000       0.011878       0.080706       0.036030       
FLOW_OUT_1.txt  0.980000       0.006714       0.037859       0.019660       
FLOW_OUT_1.txt  3.270000       0.064979       0.171561       0.080540       
FLOW_OUT_1.txt  2.240000       0.046964       0.352422       0.148700       
FLOW_OUT_1.txt  0.330000       0.029419       0.198147       0.092920       
FLOW_OUT_1.txt  0.130000       0.016914       0.100569       0.052350       
FLOW_OUT_1.txt  0.000000       0.008150       0.037922       0.023720       
FLOW_OUT_1.txt  0.000000       0.004416       0.015073       0.011330       
FLOW_OUT_1.txt  0.000000       0.002953       0.008314       0.006571       
FLOW_OUT_1.txt  0.290000       0.005960       0.035614       0.015880       
FLOW_OUT_1.txt  0.430000       0.016224       0.117636       0.048660       
FLOW_OUT_1.txt  0.650000       0.020546       0.147927       0.061940       
FLOW_OUT_1.txt  1.230000       0.025782       0.175940       0.076330       
FLOW_OUT_1.txt  1.030000       0.012567       0.067463       0.035700       
FLOW_OUT_1.txt  2.350000       0.012664       0.079177       0.037030       
FLOW_OUT_1.txt  0.730000       0.014970       0.099791       0.044740       
FLOW_OUT_1.txt  0.480000       0.015934       0.107520       0.047780       
FLOW_OUT_1.txt  0.110000       0.007832       0.042017       0.022640       
FLOW_OUT_1.txt  0.000000       0.004159       0.016346       0.010830       
FLOW_OUT_1.txt  0.000000       0.002528       0.007230       0.005750       
FLOW_OUT_1.txt  0.000000       0.002305       0.007907       0.004971       
FLOW_OUT_3.txt  46.270000      0.254167       1.424951       1.121000       
FLOW_OUT_3.txt  59.360001      1.390420       11.991078      12.740000      
FLOW_OUT_3.txt  143.550003     0.215725       1.702786       1.293000       
FLOW_OUT_3.txt  233.869995     0.404386       1.911388       1.401000       
FLOW_OUT_3.txt  91.639999      0.245246       1.772004       1.320000       
FLOW_OUT_3.txt  6.960000       0.117848       1.756184       1.271000       
FLOW_OUT_3.txt  0.970000       0.067394       1.751011       1.247000       
FLOW_OUT_3.txt  0.480000       0.043105       1.750354       1.234000       
FLOW_OUT_3.txt  0.850000       0.033426       1.754393       1.228000       
FLOW_OUT_3.txt  10.820000      0.057344       1.768108       1.237000       
FLOW_OUT_3.txt  28.090000      0.087871       1.785994       1.253000       
FLOW_OUT_3.txt  40.009998      0.119543       1.806759       1.270000       
FLOW_OUT_3.txt  48.169998      0.115205       1.822361       1.274000       
FLOW_OUT_3.txt  56.700001      0.105206       1.834789       1.274000       
FLOW_OUT_3.txt  213.419998     0.410620       1.934224       1.409000       
FLOW_OUT_3.txt  329.299988     0.819453       2.235745       1.720000       
FLOW_OUT_3.txt  72.669998      0.369586       2.024988       1.461000       
FLOW_OUT_3.txt  10.330000      0.190868       2.004873       1.396000       
FLOW_OUT_3.txt  2.970000       0.093822       1.994779       1.355000       
FLOW_OUT_3.txt  0.720000       0.057417       1.996133       1.336000       
FLOW_OUT_3.txt  3.100000       0.042391       2.002625       1.328000       
FLOW_OUT_3.txt  22.889999      0.082638       2.023951       1.344000       
FLOW_OUT_3.txt  36.410000      0.091641       2.043231       1.353000       
FLOW_OUT_3.txt  72.680000      0.392263       2.118989       1.474000       
FLOW_OUT_3.txt  66.180000      0.709702       2.515451       1.869000       
FLOW_OUT_3.txt  97.110001      2.454186       14.172104      4.703000       
FLOW_OUT_3.txt  150.589996     0.980012       6.495992       1.720000       
FLOW_OUT_3.txt  458.170013     1.017945       4.977620       1.770000       
FLOW_OUT_3.txt  423.709991     0.280620       2.657431       1.770000       
FLOW_OUT_3.txt  241.699997     0.201126       2.665308       1.748000       
FLOW_OUT_3.txt  43.450001      0.104981       2.667422       1.716000       
FLOW_OUT_3.txt  15.970000      0.066276       2.678905       1.702000       
FLOW_OUT_3.txt  23.639999      0.052315       2.695746       1.698000       
FLOW_OUT_3.txt  40.430000      0.043377       2.716655       1.699000       
FLOW_OUT_3.txt  57.029999      0.062710       2.745021       1.711000       
FLOW_OUT_3.txt  72.389999      0.154514       2.790283       1.756000       
FLOW_OUT_3.txt  61.619999      0.088223       2.809304       1.742000       
FLOW_OUT_3.txt  77.900002      0.112695       2.838943       1.754000       
FLOW_OUT_3.txt  173.649994     0.388567       2.919622       1.873000       
FLOW_OUT_3.txt  415.100006     0.305392       2.938472       1.866000       
FLOW_OUT_3.txt  277.350006     0.377655       2.981519       1.905000       
FLOW_OUT_3.txt  73.370003      0.280121       2.991018       1.880000       
FLOW_OUT_3.txt  10.470000      0.133070       2.986060       1.828000       
FLOW_OUT_3.txt  13.220000      0.081126       2.996675       1.808000       
FLOW_OUT_3.txt  10.850000      0.060999       3.014048       1.801000       
FLOW_OUT_3.txt  23.260000      0.057941       3.037210       1.803000       
FLOW_OUT_3.txt  129.690002     0.522667       3.152686       1.989000       
FLOW_OUT_3.txt  138.770004     0.529568       3.209208       2.031000       
FLOW_OUT_3.txt  201.979996     1.213945       3.431431       2.599000       
FLOW_OUT_3.txt  155.270004     1.071019       4.800675       2.016000       
FLOW_OUT_3.txt  448.420013     0.320825       3.341321       2.046000       
FLOW_OUT_3.txt  459.179993     0.306222       3.375876       2.061000       
FLOW_OUT_3.txt  226.210007     0.258097       3.398890       2.051000       
FLOW_OUT_3.txt  59.330002      0.142591       3.406279       2.012000       
FLOW_OUT_3.txt  16.129999      0.088342       3.421415       1.994000       
FLOW_OUT_3.txt  4.810000       0.066506       3.443348       1.987000       
FLOW_OUT_3.txt  16.580000      0.056704       3.467938       1.987000       
FLOW_OUT_3.txt  62.240002      0.085620       3.502540       2.004000       
FLOW_OUT_3.txt  256.359985     1.104123       4.611210       2.163000       
FLOW_OUT_3.txt  122.720001     0.287230       3.617605       2.134000       
FLOW_OUT_3.txt  115.000000     0.177067       3.635622       2.106000       
FLOW_OUT_3.txt  146.210007     0.156571       3.665118       2.108000       
FLOW_OUT_3.txt  225.839996     0.128649       3.691324       2.107000       
FLOW_OUT_3.txt  340.769989     0.202582       3.737285       2.144000       
FLOW_OUT_3.txt  326.320007     0.250034       3.778708       2.178000       
FLOW_OUT_3.txt  197.050003     0.135818       3.786179       2.147000       
FLOW_OUT_3.txt  31.150000      0.089643       3.803715       2.135000       
FLOW_OUT_3.txt  11.440000      0.061837       3.823388       2.130000       
FLOW_OUT_3.txt  19.100000      0.062831       3.849618       2.137000       
FLOW_OUT_3.txt  44.599998      0.072554       3.882030       2.150000       
FLOW_OUT_3.txt  50.490002      0.053612       3.909758       2.153000       
FLOW_OUT_3.txt  55.730000      0.046331       3.941989       2.161000       
FLOW_OUT_3.txt  69.220001      0.109296       3.988166       2.197000       
FLOW_OUT_3.txt  111.110001     0.076550       4.017794       2.198000       
FLOW_OUT_3.txt  155.419998     0.291315       4.089799       2.290000       
FLOW_OUT_3.txt  631.669983     1.176320       13.977680      2.349000       
FLOW_OUT_3.txt  255.000000     0.287831       4.162462       2.344000       
FLOW_OUT_3.txt  26.420000      0.156537       4.167881       2.307000       
FLOW_OUT_3.txt  17.910000      0.087117       4.180157       2.287000       
FLOW_OUT_3.txt  6.510000       0.061492       4.200907       2.283000       
FLOW_OUT_3.txt  17.540001      0.061159       4.226117       2.290000       
FLOW_OUT_3.txt  36.080002      0.098628       4.262212       2.315000       
FLOW_OUT_3.txt  52.349998      0.135301       4.302928       2.344000       
FLOW_OUT_3.txt  59.099998      0.119475       4.334601       2.353000       
FLOW_OUT_3.txt  55.590000      0.090543       4.363544       2.356000       
FLOW_OUT_3.txt  60.889999      0.283814       4.539741       2.609000       
FLOW_OUT_3.txt  88.389999      0.175532       4.483120       2.434000       
FLOW_OUT_3.txt  219.330002     0.128122       4.506182       2.433000       
FLOW_OUT_3.txt  134.919998     0.187029       4.543682       2.465000       
FLOW_OUT_3.txt  31.590000      0.229480       4.580105       2.497000       
FLOW_OUT_3.txt  14.520000      0.268932       4.613527       2.527000       
FLOW_OUT_3.txt  0.420000       0.137111       4.615174       2.490000       
