 FLOW_OUT_1.txt
observed       L95PPU         U95PPU       Best_Sim
6.180000       0.013409       0.076343       0.038790       
10.860000      0.021340       0.145828       0.063430       
5.540000       0.027525       0.189236       0.082320       
7.060000       0.014574       0.083028       0.042770       
0.200000       0.008652       0.041310       0.024000       
0.000000       0.004949       0.017136       0.012280       
0.090000       0.004690       0.019586       0.011400       
1.070000       0.005694       0.029566       0.014940       
1.650000       0.003546       0.012970       0.008129       
1.980000       0.002557       0.007139       0.005260       
1.930000       0.009623       0.065806       0.027910       
2.980000       0.006658       0.035473       0.017650       
4.750000       0.030660       0.234781       0.092520       
17.879999      0.041329       0.304751       0.127500       
9.790000       0.032695       0.224256       0.101600       
0.850000       0.017295       0.101061       0.053180       
1.090000       0.008278       0.037472       0.024160       
0.050000       0.004535       0.015100       0.011790       
0.000000       0.004028       0.016141       0.009873       
1.040000       0.008068       0.051635       0.022850       
1.980000       0.012497       0.085663       0.037230       
1.950000       0.010980       0.070831       0.032660       
1.840000       0.007688       0.044102       0.022090       
2.770000       0.068904       0.225244       0.218300       
3.580000       0.017232       0.122563       0.050350       
10.160000      0.012072       0.077773       0.035840       
2.840000       0.018439       0.132551       0.055070       
0.320000       0.024114       0.170222       0.072970       
2.050000       0.028683       0.204362       0.088870       
0.000000       0.013881       0.081403       0.042590       
0.000000       0.007271       0.034883       0.021080       
0.230000       0.004393       0.017090       0.011470       
0.700000       0.026239       0.194948       0.079510       
0.880000       0.018815       0.125658       0.056900       
2.070000       0.009533       0.051729       0.028010       
1.800000       0.047191       1.041886       0.998900       
11.490000      0.359418       0.537659       0.411800       
8.530000       0.034308       0.232588       0.105600       
2.710000       0.029618       0.197599       0.090900       
0.540000       0.020898       0.129252       0.063120       
0.000000       0.012722       0.069483       0.036870       
0.000000       0.011089       0.062814       0.031400       
0.000000       0.006244       0.027113       0.016020       
0.250000       0.005514       0.025693       0.013720       
0.770000       0.008102       0.049085       0.022100       
1.050000       0.006407       0.034624       0.017030       
1.190000       0.018367       0.131425       0.053960       
1.440000       0.014680       0.084487       0.039890       
1.330000       0.009419       0.048554       0.024790       
1.380000       0.012933       0.084009       0.036970       
0.230000       0.010955       0.068249       0.031580       
0.210000       0.006329       0.032206       0.017420       
0.090000       0.004525       0.021338       0.011770       
0.080000       0.004660       0.024760       0.012190       
0.000000       0.003150       0.013009       0.007434       
0.020000       0.002704       0.011703       0.006214       
0.720000       0.015318       0.113650       0.046300       
1.220000       0.010081       0.065528       0.030290       
1.330000       0.011878       0.080706       0.036030       
0.980000       0.006714       0.037859       0.019660       
3.270000       0.064979       0.171561       0.080540       
2.240000       0.046964       0.352422       0.148700       
0.330000       0.029419       0.198147       0.092920       
0.130000       0.016914       0.100569       0.052350       
0.000000       0.008150       0.037922       0.023720       
0.000000       0.004416       0.015073       0.011330       
0.000000       0.002953       0.008314       0.006571       
0.290000       0.005960       0.035614       0.015880       
0.430000       0.016224       0.117636       0.048660       
0.650000       0.020546       0.147927       0.061940       
1.230000       0.025782       0.175940       0.076330       
1.030000       0.012567       0.067463       0.035700       
2.350000       0.012664       0.079177       0.037030       
0.730000       0.014970       0.099791       0.044740       
0.480000       0.015934       0.107520       0.047780       
0.110000       0.007832       0.042017       0.022640       
0.000000       0.004159       0.016346       0.010830       
0.000000       0.002528       0.007230       0.005750       
0.000000       0.002305       0.007907       0.004971       

p-factor= 0.02
r-factor= 0.02
R2= 0.01
Nash_Sutclif= -0.27


 FLOW_OUT_3.txt
observed       L95PPU         U95PPU       Best_Sim
46.270000      0.254167       1.424951       1.121000       
59.360001      1.390420       11.991078      12.740000      
143.550003     0.215725       1.702786       1.293000       
233.869995     0.404386       1.911388       1.401000       
91.639999      0.245246       1.772004       1.320000       
6.960000       0.117848       1.756184       1.271000       
0.970000       0.067394       1.751011       1.247000       
0.480000       0.043105       1.750354       1.234000       
0.850000       0.033426       1.754393       1.228000       
10.820000      0.057344       1.768108       1.237000       
28.090000      0.087871       1.785994       1.253000       
40.009998      0.119543       1.806759       1.270000       
48.169998      0.115205       1.822361       1.274000       
56.700001      0.105206       1.834789       1.274000       
213.419998     0.410620       1.934224       1.409000       
329.299988     0.819453       2.235745       1.720000       
72.669998      0.369586       2.024988       1.461000       
10.330000      0.190868       2.004873       1.396000       
2.970000       0.093822       1.994779       1.355000       
0.720000       0.057417       1.996133       1.336000       
3.100000       0.042391       2.002625       1.328000       
22.889999      0.082638       2.023951       1.344000       
36.410000      0.091641       2.043231       1.353000       
72.680000      0.392263       2.118989       1.474000       
66.180000      0.709702       2.515451       1.869000       
97.110001      2.454186       14.172104      4.703000       
150.589996     0.980012       6.495992       1.720000       
458.170013     1.017945       4.977620       1.770000       
423.709991     0.280620       2.657431       1.770000       
241.699997     0.201126       2.665308       1.748000       
43.450001      0.104981       2.667422       1.716000       
15.970000      0.066276       2.678905       1.702000       
23.639999      0.052315       2.695746       1.698000       
40.430000      0.043377       2.716655       1.699000       
57.029999      0.062710       2.745021       1.711000       
72.389999      0.154514       2.790283       1.756000       
61.619999      0.088223       2.809304       1.742000       
77.900002      0.112695       2.838943       1.754000       
173.649994     0.388567       2.919622       1.873000       
415.100006     0.305392       2.938472       1.866000       
277.350006     0.377655       2.981519       1.905000       
73.370003      0.280121       2.991018       1.880000       
10.470000      0.133070       2.986060       1.828000       
13.220000      0.081126       2.996675       1.808000       
10.850000      0.060999       3.014048       1.801000       
23.260000      0.057941       3.037210       1.803000       
129.690002     0.522667       3.152686       1.989000       
138.770004     0.529568       3.209208       2.031000       
201.979996     1.213945       3.431431       2.599000       
155.270004     1.071019       4.800675       2.016000       
448.420013     0.320825       3.341321       2.046000       
459.179993     0.306222       3.375876       2.061000       
226.210007     0.258097       3.398890       2.051000       
59.330002      0.142591       3.406279       2.012000       
16.129999      0.088342       3.421415       1.994000       
4.810000       0.066506       3.443348       1.987000       
16.580000      0.056704       3.467938       1.987000       
62.240002      0.085620       3.502540       2.004000       
256.359985     1.104123       4.611210       2.163000       
122.720001     0.287230       3.617605       2.134000       
115.000000     0.177067       3.635622       2.106000       
146.210007     0.156571       3.665118       2.108000       
225.839996     0.128649       3.691324       2.107000       
340.769989     0.202582       3.737285       2.144000       
326.320007     0.250034       3.778708       2.178000       
197.050003     0.135818       3.786179       2.147000       
31.150000      0.089643       3.803715       2.135000       
11.440000      0.061837       3.823388       2.130000       
19.100000      0.062831       3.849618       2.137000       
44.599998      0.072554       3.882030       2.150000       
50.490002      0.053612       3.909758       2.153000       
55.730000      0.046331       3.941989       2.161000       
69.220001      0.109296       3.988166       2.197000       
111.110001     0.076550       4.017794       2.198000       
155.419998     0.291315       4.089799       2.290000       
631.669983     1.176320       13.977680      2.349000       
255.000000     0.287831       4.162462       2.344000       
26.420000      0.156537       4.167881       2.307000       
17.910000      0.087117       4.180157       2.287000       
6.510000       0.061492       4.200907       2.283000       
17.540001      0.061159       4.226117       2.290000       
36.080002      0.098628       4.262212       2.315000       
52.349998      0.135301       4.302928       2.344000       
59.099998      0.119475       4.334601       2.353000       
55.590000      0.090543       4.363544       2.356000       
60.889999      0.283814       4.539741       2.609000       
88.389999      0.175532       4.483120       2.434000       
219.330002     0.128122       4.506182       2.433000       
134.919998     0.187029       4.543682       2.465000       
31.590000      0.229480       4.580105       2.497000       
14.520000      0.268932       4.613527       2.527000       
0.420000       0.137111       4.615174       2.490000       
2.000000       0.086107       4.630523       2.478000       
14.250000      0.065740       4.652552       2.478000       
58.400002      0.257365       4.717435       2.564000       
53.360001      0.184321       4.737883       2.556000       
52.180000      0.105012       4.755117       2.540000       
83.910004      3.928725       11.119548      8.950000       
305.769989     0.583600       5.159329       3.045000       
497.130005     0.303407       5.003607       2.833000       
184.199997     0.268245       5.034946       2.834000       
30.969999      0.195590       5.054485       2.819000       
4.650000       0.130449       5.070777       2.803000       
5.040000       0.122180       5.097338       2.808000       
5.600000       0.082402       5.117160       2.802000       
20.709999      0.079551       5.145009       2.810000       
38.689999      0.103889       5.180245       2.831000       
40.400002      0.087735       5.208156       2.839000       
48.580002      0.191384       5.259801       2.892000       
56.580002      0.141771       5.282719       2.893000       
57.889999      0.103573       5.301710       2.889000       
60.840000      0.142077       5.333202       2.914000       
13.460000      0.125272       5.351726       2.920000       
1.590000       0.085958       5.361300       2.914000       
2.690000       0.073406       5.374496       2.916000       
4.980000       0.076414       5.389645       2.925000       
2.630000       0.063118       5.402792       2.929000       
6.330000       0.061062       5.418543       2.937000       
19.650000      0.171559       5.459421       2.992000       
26.809999      0.120384       5.471957       2.989000       
29.209999      0.137189       5.495486       3.009000       
32.029999      0.091070       5.506483       3.005000       
111.699997     0.231107       5.586678       3.078000       
127.099998     0.433230       5.618605       3.173000       
23.690001      0.271140       5.606121       3.131000       
2.260000       0.166905       5.596491       3.101000       
0.550000       0.098388       5.590134       3.080000       
0.270000       0.072191       5.590288       3.075000       
0.220000       0.063350       5.596251       3.078000       
0.770000       0.091752       5.611193       3.097000       
10.320000      0.180344       5.639424       3.144000       
25.840000      0.213231       5.658398       3.173000       
30.219999      0.244156       5.680049       3.204000       
39.669998      0.128683       5.670617       3.176000       
70.370003      0.141207       5.679847       3.189000       
47.970001      0.163685       5.689730       3.208000       
13.910000      0.172357       5.694970       3.223000       
0.350000       0.101143       5.683766       3.205000       
0.250000       0.072211       5.678133       3.199000       
0.200000       0.061058       5.676467       3.200000       
0.190000       0.060628       5.677373       3.207000       

p-factor= 0.15
r-factor= 0.03
R2= 0.01
Nash_Sutclif= -0.53


 FLOW_OUT_7.txt
observed       L95PPU         U95PPU       Best_Sim
14.680000      0.031900       2.288832       1.493000       
20.129999      0.032172       2.310344       1.494000       
32.200001      0.032417       2.334657       1.496000       
44.910000      0.225774       2.391796       1.650000       
143.509995     0.729048       3.116197       2.236000       
163.289993     0.784084       3.539873       2.411000       
36.520000      0.049636       2.589787       1.642000       
6.950000       0.047687       2.610400       1.645000       
2.050000       0.044933       2.627197       1.642000       
0.550000       0.042451       2.643069       1.637000       
2.080000       0.040278       2.640757       1.633000       
12.510000      0.039275       2.664053       1.632000       
22.180000      0.038706       2.692051       1.635000       
44.610001      0.044457       2.746812       1.644000       
35.090000      1.957060       4.932480       3.417000       
53.520000      7.207862       23.638523      13.120000      
85.519997      1.235368       9.521630       3.121000       
373.470001     1.229256       9.736224       2.332000       
306.000000     0.052134       3.557352       2.239000       
113.190002     0.051699       3.587228       2.247000       
23.120001      0.049691       3.611393       2.248000       
5.820000       0.047705       3.634625       2.248000       
20.209999      0.046022       3.659748       2.248000       
28.910000      0.044520       3.687685       2.249000       
37.340000      0.043673       3.719402       2.251000       
50.110001      0.044953       3.754063       2.258000       
54.509998      0.044223       3.790461       2.265000       
60.209999      0.045791       3.825140       2.273000       
125.029999     0.050300       3.885244       2.289000       
192.000000     0.052301       3.898458       2.302000       
157.570007     0.056226       3.935160       2.315000       
52.119999      0.056734       3.965099       2.325000       
7.700000       0.054383       3.991112       2.328000       
10.060000      0.052293       4.016206       2.330000       
8.250000       0.050486       4.043188       2.333000       
14.400000      0.048940       4.072991       2.336000       
66.620003      0.057917       4.113763       2.355000       
88.949997      0.367703       4.548038       2.735000       
138.669998     0.796871       4.874253       3.009000       
122.690002     1.742347       11.265311      2.982000       
285.640015     0.079272       4.563726       2.663000       
254.139999     0.069794       4.563105       2.658000       
151.619995     0.068895       4.592016       2.669000       
48.040001      0.065969       4.614253       2.676000       
14.620000      0.062990       4.633682       2.679000       
5.410000       0.060284       4.651260       2.680000       
12.660000      0.057950       4.670732       2.683000       
37.650002      0.056639       4.694009       2.688000       
109.150002     1.420906       10.337626      3.530000       
67.889999      0.064316       4.773011       2.897000       
77.660004      0.062681       4.817760       2.911000       
112.949997     0.061941       4.854158       2.923000       
146.029999     0.060611       4.888648       2.933000       
244.229996     0.061240       4.921396       2.944000       
272.320007     0.785896       5.002496       2.977000       
184.839996     0.061235       4.988680       2.994000       
25.330000      0.059455       5.016599       3.001000       
14.940000      0.057551       5.042641       3.006000       
13.710000      0.056121       5.069649       3.011000       
34.990002      0.055276       5.100431       3.018000       
42.610001      0.054010       5.133056       3.026000       
46.639999      0.052921       5.166627       3.035000       
51.619999      0.053357       5.201233       3.046000       
75.379997      0.052697       5.233897       3.056000       
105.970001     0.057140       5.265961       3.070000       
353.000000     1.607850       20.940603      3.857000       
175.979996     0.062948       5.342037       3.249000       
27.830000      0.061744       5.369994       3.259000       
24.930000      0.059907       5.393237       3.265000       
3.530000       0.058251       5.415555       3.270000       
8.890000       0.056999       5.438837       3.275000       
30.360001      0.056772       5.464988       3.283000       
37.720001      0.057221       5.494922       3.295000       
40.000000      0.057044       5.524815       3.306000       
43.650002      0.056430       5.554678       3.317000       
42.340000      0.676431       6.591470       4.020000       
52.340000      0.058081       5.645434       3.352000       
139.320007     0.057697       5.666902       3.361000       
74.980003      0.058795       5.683796       3.371000       
18.090000      0.061141       5.697967       3.381000       
8.580000       0.063094       5.710243       3.390000       
0.320000       0.061653       5.718560       3.395000       
2.390000       0.060128       5.728739       3.400000       
8.920000       0.058811       5.742670       3.406000       
34.740002      0.062440       5.759729       3.419000       
33.070000      0.062381       5.778415       3.433000       
34.290001      0.061008       5.795147       3.445000       
55.840000      5.221025       15.490949      15.630000      
198.839996     1.316272       8.275305       4.831000       
308.329987     0.070853       6.373319       3.747000       
125.529999     0.071560       6.372429       3.760000       
38.580002      0.070994       6.364916       3.769000       
5.960000       0.069314       6.354527       3.774000       
4.310000       0.068105       6.342300       3.778000       
5.180000       0.066266       6.331899       3.782000       
15.410000      0.064866       6.324333       3.787000       
23.180000      0.064163       6.319613       3.795000       
25.400000      0.063158       6.316744       3.804000       
30.809999      0.064659       6.315907       3.815000       
32.810001      0.064617       6.313101       3.824000       
35.470001      0.063460       6.307418       3.832000       
33.680000      0.063601       6.299017       3.840000       
10.440000      0.063107       6.286836       3.846000       
0.750000       0.061843       6.268998       3.849000       
3.830000       0.060621       6.250228       3.851000       
2.030000       0.059736       6.231480       3.853000       
1.580000       0.058661       6.213653       3.855000       
4.550000       0.057717       6.198640       3.859000       
9.700000       0.059389       6.189404       3.868000       
14.480000      0.058937       6.180029       3.877000       
16.940001      0.059197       6.171635       3.886000       
23.990000      0.119932       6.166268       3.899000       
69.919998      0.127422       6.470474       4.019000       
63.209999      0.067980       6.168472       3.949000       
15.770000      0.067183       6.154402       3.961000       
3.850000       0.065968       6.136567       3.968000       
1.260000       0.064019       6.114946       3.970000       
0.340000       0.062202       6.092399       3.971000       
0.400000       0.060638       6.075475       3.973000       
0.620000       0.059979       6.061415       3.979000       
7.900000       0.061160       6.050278       3.989000       

p-factor= 0.16
r-factor= 0.07
R2= 0.00
Nash_Sutclif= -0.56


