Swat_Edit (Swat Parameters Editor 2012) Version 2.6.3.3

________________________________________________________________________________________________________________________________________________________________________________________________________


r__CN2.mgt     0.125000

Parameter: 'CN2'  |  Value: { New: '88.875000'  Original: '79'  Old: '73.075000' }  |  File: '000080001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '94.500000'  Original: '84'  Old: '77.700000' }  |  File: '000080002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '90.000000'  Original: '80'  Old: '74.000000' }  |  File: '000080003.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '88.875000'  Original: '79'  Old: '73.075000' }  |  File: '000090001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '94.500000'  Original: '84'  Old: '77.700000' }  |  File: '000090002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '94.500000'  Original: '84'  Old: '77.700000' }  |  File: '000100001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '90.000000'  Original: '80'  Old: '74.000000' }  |  File: '000100002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '94.500000'  Original: '84'  Old: '77.700000' }  |  File: '000110001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '94.500000'  Original: '84'  Old: '77.700000' }  |  File: '000110002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '94.500000'  Original: '84'  Old: '77.700000' }  |  File: '000120001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '94.500000'  Original: '84'  Old: '77.700000' }  |  File: '000130001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '90.000000'  Original: '80'  Old: '74.000000' }  |  File: '000130002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '94.500000'  Original: '84'  Old: '77.700000' }  |  File: '000140001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '94.500000'  Original: '84'  Old: '77.700000' }  |  File: '000140002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '94.500000'  Original: '84'  Old: '77.700000' }  |  File: '000150001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '94.500000'  Original: '84'  Old: '77.700000' }  |  File: '000150002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '90.000000'  Original: '80'  Old: '74.000000' }  |  File: '000150003.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '94.500000'  Original: '84'  Old: '77.700000' }  |  File: '000160001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '94.500000'  Original: '84'  Old: '77.700000' }  |  File: '000160002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '94.500000'  Original: '84'  Old: '77.700000' }  |  File: '000170001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '94.500000'  Original: '84'  Old: '77.700000' }  |  File: '000180001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '88.875000'  Original: '79'  Old: '73.075000' }  |  File: '000190001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '94.500000'  Original: '84'  Old: '77.700000' }  |  File: '000190002.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '88.875000'  Original: '79'  Old: '73.075000' }  |  File: '000200001.mgt'  |  Line: '11'
Parameter: 'CN2'  |  Value: { New: '94.500000'  Original: '84'  Old: '77.700000' }  |  File: '000200002.mgt'  |  Line: '11'

Modified Values:  38 in 38 files

________________________________________________________________________________________________________________________________________________________________________________________________________


v__ALPHA_BF.gw     0.062500

Parameter: 'ALPHA_BF'  |  Value: { New: '0.062500'  Original: '0.048'  Old: '0.812500' }  |  File: '000010001.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.062500'  Original: '0.048'  Old: '0.812500' }  |  File: '000010002.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.062500'  Original: '0.048'  Old: '0.812500' }  |  File: '000020001.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.062500'  Original: '0.048'  Old: '0.812500' }  |  File: '000020002.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.062500'  Original: '0.048'  Old: '0.812500' }  |  File: '000030001.gw'  |  Line: '5'
