.	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
q_0	1.146	0.0916	0.05816	0.03484	0.02011	0.01187	0.009888	0.01125	0.01405	0.1613	0.2104	0.7715	2.555	1.691	0.9746	0.4248	0.2183	0.1137	0.06417	0.03888	0.1231	14.59	86.989998	60.66	42.900002	29.389999	29.84	28.969999	27.02	24.08	20.34	16.25	13.27	10.47	156.8	50.59	54.919998	48.700001	39.57	34.18	32.450001	27.98	22.34	26.190001	14.04
q_0.005	1.146	0.0916	0.05816	0.03484	0.02011	0.01187	0.009888	0.01125	0.01405	0.1613	0.2104	0.7715	2.555	1.691	0.9746	0.4248	0.2183	0.1137	0.06417	0.03888	0.1231	14.59	86.989998	60.66	42.900002	29.389999	29.84	28.969999	27.02	24.08	20.34	16.25	13.2727	10.47	156.8	50.59	54.919998	48.700001	39.57	34.18	32.450001	27.98	22.34	26.190901	14.04
q_0.01	1.146	0.0916	0.05816	0.03484	0.02011	0.01187	0.009888	0.01125	0.01405	0.1613	0.2104	0.7715	2.555	1.691	0.9746	0.4248	0.2183	0.1137	0.06417	0.03888	0.1231	14.59	86.989998	60.66	42.900002	29.389999	29.84	28.969999	27.02	24.08	20.34	16.25	13.2754	10.47	156.8	50.59	54.919998	48.700001	39.57	34.18	32.450001	27.98	22.34	26.191801	14.04
q_0.015	1.146	0.0916	0.05816	0.03484	0.02011	0.01187	0.009888	0.01125	0.01405	0.1613	0.2104	0.7715	2.555	1.691	0.9746	0.4248	0.2183	0.1137	0.06417	0.03888	0.1231	14.59	86.989998	60.66	42.900002	29.389999	29.84	28.969999	27.02	24.08	20.34	16.25	13.2781	10.47	156.8	50.59	54.919998	48.700001	39.57	34.18	32.450001	27.98	22.34	26.192701	14.04
q_0.02	1.146	0.0916	0.05816	0.03484	0.02011	0.01187	0.009888	0.01125	0.01405	0.1613	0.2104	0.7715	2.555	1.691	0.9746	0.4248	0.2183	0.1137	0.06417	0.03888	0.1231	14.59	86.989998	60.66	42.900002	29.389999	29.84	28.969999	27.02	24.08	20.34	16.25	13.2808	10.47	156.8	50.59	54.919998	48.700001	39.57	34.18	32.450001	27.98	22.34	26.193601	14.04
q_0.025	1.146	0.0916	0.05816	0.03484	0.02011	0.01187	0.009888	0.01125	0.01405	0.1613	0.2104	0.7715	2.555	1.691	0.9746	0.4248	0.2183	0.1137	0.06417	0.03888	0.1231	14.59	86.989998	60.66	42.900002	29.389999	29.84	28.969999	27.02	24.08	20.34	16.25	13.2835	10.47	156.8	50.59	54.919998	48.700001	39.57	34.18	32.450001	27.98	22.34	26.194501	14.04
q_0.03	1.146	0.0916	0.05816	0.03484	0.02011	0.01187	0.009888	0.01125	0.01405	0.1613	0.2104	0.7715	2.555	1.691	0.9746	0.4248	0.2183	0.1137	0.06417	0.03888	0.1231	14.59	86.989998	60.66	42.900002	29.389999	29.84	28.969999	27.02	24.08	20.34	16.25	13.2862	10.47	156.8	50.59	54.919998	48.700001	39.57	34.18	32.450001	27.98	22.34	26.1954	14.04
q_0.035	1.146	0.0916	0.05816	0.03484	0.02011	0.01187	0.009888	0.01125	0.01405	0.1613	0.2104	0.7715	2.555	1.691	0.9746	0.4248	0.2183	0.1137	0.06417	0.03888	0.1231	14.59	86.989998	60.66	42.900002	29.389999	29.84	28.969999	27.02	24.08	20.34	16.25	13.2889	10.47	156.8	50.59	54.919998	48.700001	39.57	34.18	32.450001	27.98	22.34	26.1963	14.04
q_0.04	1.146	0.0916	0.05816	0.03484	0.02011	0.01187	0.009888	0.01125	0.01405	0.1613	0.2104	0.7715	2.555	1.691	0.9746	0.4248	0.2183	0.1137	0.06417	0.03888	0.1231	14.59	86.989998	60.66	42.900002	29.389999	29.84	28.969999	27.02	24.08	20.34	16.25	13.2916	10.47	156.8	50.59	54.919998	48.700001	39.57	34.18	32.450001	27.98	22.34	26.1972	14.04
q_0.045	1.146	0.0916	0.05816	0.03484	0.02011	0.01187	0.009888	0.01125	0.01405	0.1613	0.2104	0.7715	2.555	1.691	0.9746	0.4248	0.2183	0.1137	0.06417	0.03888	0.1231	14.59	86.989998	60.66	42.900002	29.389999	29.84	28.969999	27.02	24.08	20.34	16.25	13.2943	10.47	156.8	50.59	54.919998	48.700001	39.57	34.18	32.450001	27.98	22.34	26.1981	14.04
q_0.05	1.146	0.0916	0.05816	0.03484	0.02011	0.01187	0.009888	0.01125	0.01405	0.1613	0.2104	0.7715	2.555	1.691	0.9746	0.4248	0.2183	0.1137	0.06417	0.03888	0.1231	14.59	86.989998	60.66	42.900002	29.389999	29.84	28.969999	27.02	24.08	20.34	16.25	13.297	10.47	156.8	50.59	54.919998	48.700001	39.57	34.18	32.450001	27.98	22.34	26.199	14.04
q_0.055	1.146	0.0916	0.05816	0.03484	0.02011	0.01187	0.009888	0.01125	0.01405	0.1613	0.2104	0.7715	2.555	1.691	0.9746	0.4248	0.2183	0.1137	0.06417	0.03888	0.1231	14.59	86.989998	60.66	42.900002	29.389999	29.84	28.969999	27.02	24.08	20.34	16.25	13.2997	10.47	156.8	50.59	54.919998	48.700001	39.57	34.18	32.450001	27.98	22.34	26.1999	14.04
q_0.06	1.146	0.0916	0.05816	0.03484	0.02011	0.01187	0.009888	0.01125	0.01405	0.1613	0.2104	0.7715	2.555	1.691	0.9746	0.4248	0.2183	0.1137	0.06417	0.03888	0.1231	14.59	86.989998	60.66	42.900002	29.389999	29.84	28.969999	27.02	24.08	20.34	16.25	13.3024	10.47	156.8	50.59	54.919998	48.700001	39.57	34.18	32.450001	27.98	22.34	26.2008	14.04
q_0.065	1.146	0.0916	0.05816	0.03484	0.02011	0.01187	0.009888	0.01125	0.01405	0.1613	0.2104	0.7715	2.555	1.691	0.9746	0.4248	0.2183	0.1137	0.06417	0.03888	0.1231	14.59	86.989998	60.66	42.900002	29.389999	29.84	28.969999	27.02	24.08	20.34	16.25	13.3051	10.47	156.8	50.59	54.919998	48.700001	39.57	34.18	32.450001	27.98	22.34	26.2017	14.04
