Stname       L95PPU             U95PPU 
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-PET_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
H-SW_1.txt        0.000000           0.000000        
