.	r__CN2.mgt	r__ALPHA_BF.gw	r__GW_DELAY.gw	r__CH_N2.rte	v__CH_K2.rte	r__SOL_AWC(1).sol	r__SOL_K(1).sol	r__SOL_BD(1).sol	v__SFTMP.bsn	v__SMTMP.bsn
q_0.955	-0.071224329	-0.25753042	0.48173564	-0.39806651	6.0892363	0.21408345	-0.23446798	0.17211026	1.0606767	0.40572894
q_0.96	-0.071224329	-0.25747019	0.48173564	-0.39798574	6.0903056	0.21408345	-0.23427862	0.17211026	1.0606767	0.40574223
q_0.965	-0.071224329	-0.25740995	0.48173564	-0.39790498	6.0913748	0.21408345	-0.23408926	0.17211026	1.0606767	0.40575551
q_0.97	-0.071224329	-0.25734972	0.48173564	-0.39782421	6.0924441	0.21408345	-0.2338999	0.17211026	1.0606767	0.4057688
q_0.975	-0.071224329	-0.25728948	0.48173564	-0.39774344	6.0935133	0.21408345	-0.23371053	0.17211026	1.0606767	0.40578209
q_0.98	-0.071224329	-0.25722925	0.48173564	-0.39766268	6.0945825	0.21408345	-0.23352117	0.17211026	1.0606767	0.40579537
q_0.985	-0.071224329	-0.25716901	0.48173564	-0.39758191	6.0956518	0.21408345	-0.23333181	0.17211026	1.0606767	0.40580866
q_0.99	-0.071224329	-0.25710878	0.48173564	-0.39750114	6.096721	0.21408345	-0.23314245	0.17211026	1.0606767	0.40582195
q_0.995	-0.071224329	-0.25704854	0.48173564	-0.39742038	6.0977903	0.21408345	-0.23295308	0.17211026	1.0606767	0.40583523
q_1	-0.071224329	-0.25698831	0.48173564	-0.39733961	6.0988595	0.21408345	-0.23276372	0.17211026	1.0606767	0.40584852
