.	r__CN2.mgt	r__ALPHA_BF.gw	r__GW_DELAY.gw	r__CH_N2.rte	v__CH_K2.rte	r__SOL_AWC(1).sol	r__SOL_K(1).sol	r__SOL_BD(1).sol	v__SFTMP.bsn	v__SMTMP.bsn
q_0.22	-0.074049447	-0.25979922	0.47925626	-0.41430492	6.0624273	0.20984051	-0.23798456	0.17169952	1.0448781	0.40099685
q_0.225	-0.074008011	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.23	-0.073962591	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.235	-0.073917171	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.24	-0.07387175	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.245	-0.07382633	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.25	-0.07378091	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.255	-0.073735489	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.26	-0.073690069	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.265	-0.073644649	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.27	-0.073599228	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.275	-0.073553808	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.28	-0.073508388	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.285	-0.073462967	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.29	-0.073417547	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.295	-0.073372127	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.3	-0.073326706	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.305	-0.073281286	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.31	-0.073235866	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.315	-0.073190445	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.32	-0.073145025	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.325	-0.073099605	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.33	-0.073054184	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.335	-0.07299691	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.34	-0.07291593	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.345	-0.072834949	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.35	-0.072753968	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.355	-0.072672987	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.36	-0.072592006	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.365	-0.072511025	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.37	-0.072430044	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.375	-0.072349063	-0.25979922	0.47925626	-0.41430492	6.0628492	0.20984051	-0.23796107	0.17171421	1.0448781	0.40102791
